Season,Player,Age,Tm,Pos,GP,G,GPG,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EVA,PPA,SHA,S,S%,TOI,ATOI,BLK,HIT,FOwin,FOloss,FO%,MoreThan50
1979,Marcel Dionne*,27.0, LAK , C ,80,59,0.7375,71, 130 , 23 , 30 , 40 , 19 , -   , 7 , 41 , 29 , 1 , 362 , 16 ,0,0,0.0,0.0,0.0,0.0,0.0,True
2001,Pavel Bure*,29.0, FLA , RW ,82,59,0.7195,33, 92 ,-2 , 58 , 35 , 19 , 5 , 8 , 24 , 9 , -   , 384 , 15 ," 2,203 ",2:52,0.0,0.0,0.0,0.0,0.0,True
1986,Tim Kerr,26.0, PHI , RW ,76,58,0.7632,26, 84 ,-5 , 79 , 24 , 34 , -   , 8 , 13 , 13 , -   , 285 , 20 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1981,Marcel Dionne*,29.0, LAK , C ,80,58,0.725,77, 135 , 55 , 70 , 31 , 23 , 4 , 9 , 55 , 22 , -   , 342 , 17 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1987,Tim Kerr,27.0, PHI , RW ,75,58,0.7733,37, 95 , 38 , 57 , 32 , 26 , -   , 10 , 27 , 10 , -   , 261 , 22 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1993,Pierre Turgeon,23.0, NYI , C ,83,58,0.6988,74, 132 ,-1 , 26 , 34 , 24 , -   , 10 , 43 , 30 , 1 , 301 , 19 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1969,Bobby Hull*,30.0, CBH , LW ,74,58,0.7838,49, 107 ,-7 , 48 , 36 , 20 , 2 , 11 , 33 , 16 , -   , 414 , 14 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1993,Steve Yzerman*,27.0, DET , C ,84,58,0.6905,79, 137 , 33 , 44 , 38 , 13 , 7 , 6 , 49 , 28 , 2 , 307 , 19 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1985,Mike Bossy*,28.0, NYI , RW ,76,58,0.7632,59, 117 , 37 , 38 , 40 , 14 , 4 , 7 , 46 , 13 , -   , 285 , 20 ,0,0,0.0,0.0,0.0,0.0,0.0,True
2000,Pavel Bure*,28.0, FLA , RW ,74,58,0.7838,36, 94 , 25 , 16 , 45 , 11 , 2 , 14 , 27 , 9 , -   , 360 , 16 ," 1,804 ",0:23,0.0,0.0,0.0,0.0,0.0,True
1983,Michel Goulet*,22.0, QUE , LW ,80,57,0.7125,48, 105 , 31 , 51 , 43 , 10 , 4 , 4 , 39 , 8 , 1 , 256 , 22 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1994,Brett Hull*,29.0, STL , RW ,81,57,0.7037,40, 97 ,-3 , 38 , 29 , 25 , 3 , 6 , 22 , 16 , 2 , 392 , 15 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1983,Marcel Dionne*,31.0, LAK , C ,80,56,0.7,51, 107 , 10 , 22 , 38 , 17 , 1 , 7 , 30 , 21 , -   , 345 , 16 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1980,Danny Gare,25.0, BUF , RW ,76,56,0.7368,33, 89 , 49 , 90 , 39 , 17 , -   , 11 , 23 , 10 , -   , 270 , 21 ,0,0,0.0,0.0,0.0,0.0,0.0,True
1988,Craig Simpson,20.0, TOT , RW ,80,56,0.7,34, 90 , 20 , 77 , 34 , 22 , -   , 8 , 22 , 12 , -   , 177 , 32 ,0,0,0.0,0.0,0.0,0.0,0.0,True
